Gene stable ID	Transcript stable ID	Gene name
OS01G0114900	OS01T0114900-00	
OS01G0115100	OS01T0115100-01	
OS01G0115200	OS01T0115200-00	
OS01G0115300	OS01T0115300-01	
OS01G0115500	OS01T0115500-00	
OS01G0115533	OS01T0115533-00	
OS01G0115566	OS01T0115566-00	
OS01G0115600	OS01T0115600-01	
OS01G0115700	OS01T0115700-00	
OS01G0115725	OS01T0115725-00	
OS01G0115750	OS01T0115750-00	
OS01G0115752	OS01T0115752-00	
OS01G0115800	OS01T0115800-01	
OS01G0115900	OS01T0115900-00	
OS01G0115950	OS01T0115950-00	
OS01G0116000	OS01T0116000-00	
OS01G0116100	OS01T0116100-01	
OS01G0116101	OS01T0116101-00	
OS01G0116200	OS01T0116200-01	
OS01G0116250	OS01T0116250-00	
OS01G0116300	OS01T0116300-01	
OS01G0116400	OS01T0116400-01	
OS01G0116600	OS01T0116600-01	
OS01G0116600	OS01T0116600-02	
OS01G0116650	OS01T0116650-00	
OS01G0116800	OS01T0116800-00	
OS01G0116900	OS01T0116900-00	
OS01G0116901	OS01T0116901-00	
OS01G0117000	OS01T0117000-00	
OS01G0117025	OS01T0117025-00	
OS01G0117050	OS01T0117050-01	
OS01G0117100	OS01T0117100-00	
OS01G0117200	OS01T0117200-01	
OS01G0117233	OS01T0117233-00	
OS01G0117266	OS01T0117266-00	
OS01G0117300	OS01T0117300-00	
OS01G0117400	OS01T0117400-00	
OS01G0117450	OS01T0117450-00	
OS01G0117500	OS01T0117500-00	
OS01G0117600	OS01T0117600-01	
OS01G0117650	OS01T0117650-00	
OS01G0117700	OS01T0117700-00	
OS01G0117900	OS01T0117900-01	
OS01G0117900	OS01T0117900-02	
OS01G0117900	OS01T0117900-03	
OS01G0118000	OS01T0118000-01	
OS01G0118033	OS01T0118033-00	
OS01G0118066	OS01T0118066-01	
OS01G0118100	OS01T0118100-01	
OS01G0118300	OS01T0118300-01	
OS01G0118350	OS01T0118350-00	
OS01G0118400	OS01T0118400-01	
OS01G0118600	OS01T0118600-00	
OS01G0118700	OS01T0118700-01	
OS01G0119000	OS01T0119000-01	
OS01G0119000	OS01T0119000-02	
OS01G0119050	OS01T0119050-01	
OS01G0119100	OS01T0119100-00	
OS01G0119500	OS01T0119500-01	
OS01G0119800	OS01T0119800-01	
OS01G0120300	OS01T0120300-00	
OS01G0120400	OS01T0120400-01	
OS01G0120400	OS01T0120400-02	
OS01G0120500	OS01T0120500-01	
OS01G0120600	OS01T0120600-01	
